证券代码,证券简称,实际控制人名称,实际控制人属性,公司中文名称,注册地址,省份,流通市值,统一社会信用代码
300106.SZ,西部牧业,新疆生产建设兵团农八师国有资产监督管理委员会,地方国资委,新疆西部牧业股份有限公司,新疆维吾尔自治区石河子市开发区北三东路29-2号,新疆维吾尔自治区,"2,115,436,423.1000",91659001751652392K
600145.SH,*ST新亿,黄伟,个人,新疆亿路万源实业控股股份有限公司,新疆维吾尔自治区塔城地区塔城市巴克图路六和广场辽塔赣商大厦,新疆维吾尔自治区,"1,535,833,391.4000",916542002035688270
603080.SH,新疆火炬,赵安林,个人,新疆火炬燃气股份有限公司,新疆维吾尔自治区喀什地区喀什市世纪大道南路77号,新疆维吾尔自治区,"1,968,265,000.0000",91653100748663541B
002700.SZ,ST浩源,周举东,个人,新疆浩源天然气股份有限公司,新疆维吾尔自治区阿克苏市英阿瓦提路2号,新疆维吾尔自治区,"1,600,997,875.2000",916529007846613320
605169.SH,洪通燃气,"刘洪兵,谭素清",个人,新疆洪通燃气股份有限公司,新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市延安路37号40-6,新疆维吾尔自治区,"3,192,800,000.0000",91652800715548301W
300313.SZ,ST天山,解直锟,个人,新疆天山畜牧生物工程股份有限公司,新疆维吾尔自治区昌吉市高新区光明南路1号,新疆维吾尔自治区,"2,012,444,656.2800",91652300748699149X
002719.SZ,麦趣尔,"李刚,李勇,李玉瑚,王翠先",个人,麦趣尔集团股份有限公司,新疆维吾尔自治区昌吉回族自治州昌吉市经济技术开发区麦趣尔大道,新疆维吾尔自治区,"1,518,496,065.0400",916523007452118491
603706.SH,东方环宇,"李明,李伟伟",个人,新疆东方环宇燃气股份有限公司,新疆维吾尔自治区昌吉回族自治州昌吉市延安北路198号24层,新疆维吾尔自治区,"2,575,604,910.4000",916523007269460306
002207.SZ,准油股份,解直锟,个人,新疆准东石油技术股份有限公司,新疆维吾尔自治区克拉玛依市克拉玛依区昆仑路553-308号,新疆维吾尔自治区,"2,279,881,788.6000",91650200729156392B
002828.SZ,贝肯能源,陈平贵,个人,新疆贝肯能源工程股份有限公司,新疆维吾尔自治区克拉玛依市白碱滩区门户路91号,新疆维吾尔自治区,"1,847,076,044.0000",916502006978024838
603032.SH,*ST德新,胡成中,个人,德力西新疆交通运输集团股份有限公司,新疆维吾尔自治区乌鲁木齐市沙依巴克区黑龙江路51号,新疆维吾尔自治区,"9,744,091,740.0000",91650100748686233F
603393.SH,新天然气,明再远,个人,新疆鑫泰天然气股份有限公司,新疆维吾尔自治区乌鲁木齐市高新技术产业开发区(新市区)阿勒泰路蜘蛛山巷179号楼兰新城25栋1层商铺2,新疆维吾尔自治区,"9,822,257,146.5900",916501007383763383
601069.SH,西部黄金,新疆维吾尔自治区人民政府国有资产监督管理委员会,地方国资委,西部黄金股份有限公司,新疆维吾尔自治区乌鲁木齐市经济技术开发区融合南路501号,新疆维吾尔自治区,"9,672,079,655.0000",9165010073835557XW
002800.SZ,天顺股份,"胡晓玲,王普宇",个人,新疆天顺供应链股份有限公司,新疆维吾尔自治区乌鲁木齐市经济技术开发区赛里木湖路133号,新疆维吾尔自治区,"2,471,937,301.4300",916501006827031595
600337.SH,美克家居,冯东明,个人,美克国际家居用品股份有限公司,江西省赣州市南康区镜坝镇南康家居小镇D3木屋,江西省,"5,194,363,831.8000",916501006255516701
300159.SZ,新研股份,张扬,个人,新疆机械研究院股份有限公司,新疆维吾尔自治区乌鲁木齐市经济技术开发区融合南路661号,新疆维吾尔自治区,"5,633,561,563.5600",916501004576329996
300603.SZ,立昂技术,王刚,个人,立昂技术股份有限公司,新疆维吾尔自治区乌鲁木齐市经济技术开发区(头屯河区)燕山街518号,新疆维吾尔自治区,"5,928,612,606.1800",916501002999341738
300588.SZ,熙菱信息,"何开文,岳亚梅",个人,新疆熙菱信息技术股份有限公司,新疆维吾尔自治区乌鲁木齐市高新区(新市区)北京南路358号大成国际大厦10层,新疆维吾尔自治区,"3,289,177,510.0000",91650100298827325R
600778.SH,友好集团,牛钢,个人,新疆友好(集团)股份有限公司,新疆维吾尔自治区乌鲁木齐市友好南路668号,新疆维吾尔自治区,"1,501,388,316.6400",91650100228584428B
600090.SH,*ST济堂,"李青,张美华",个人,新疆同济堂健康产业股份有限公司,新疆维吾尔自治区乌鲁木齐市经济技术开发区上海路130号,新疆维吾尔自治区,"1,396,473,056.6500",91650100228582422A
600545.SH,卓郎智能,潘雪平,个人,卓郎智能技术股份有限公司,新疆维吾尔自治区乌鲁木齐市经济技术开发区维泰南路1号维泰大厦1505室,新疆维吾尔自治区,"6,008,459,194.1500",91650000MA77T382X9
002307.SZ,北新路桥,新疆生产建设兵团第十一师国资委,地方国资委,新疆北新路桥集团股份有限公司,新疆维吾尔自治区乌鲁木齐市高新区高新街217号盈科广场A座16-17层,新疆维吾尔自治区,"5,766,557,591.7900",916500009287328820
002092.SZ,中泰化学,新疆维吾尔自治区人民政府国有资产监督管理委员会,地方国资委,新疆中泰化学股份有限公司,新疆维吾尔自治区乌鲁木齐市经济技术开发区阳澄湖路39号,新疆维吾尔自治区,"26,736,176,186.4600",91650000731836311Q
002524.SZ,光正眼科,周永麟,个人,光正眼科医院集团股份有限公司,新疆维吾尔自治区乌鲁木齐经济技术开发区融合北路266号,新疆维吾尔自治区,"3,929,562,154.2000",91650000731832724W
002302.SZ,西部建设,国务院国有资产监督管理委员会,国资委,中建西部建设股份有限公司,新疆维吾尔自治区乌鲁木齐市经济技术开发区泰山路268号,新疆维吾尔自治区,"10,439,670,094.0800",916500007318073269
300859.SZ,*ST西域,阜康市国有资产监督管理局,地方国资委,西域旅游开发股份有限公司,新疆维吾尔自治区昌吉回族自治州阜康市准噶尔路229号,新疆维吾尔自治区,"3,303,050,000.0000",91650000722367867J
002100.SZ,天康生物,新疆生产建设兵团国有资产经营有限责任公司,地方国有企业,天康生物股份有限公司,新疆维吾尔自治区乌鲁木齐市高新区长春南路528号,新疆维吾尔自治区,"14,811,191,072.7200",91650000722362767Q
600581.SH,八一钢铁,国务院国有资产监督管理委员会,国资委,新疆八一钢铁股份有限公司,新疆维吾尔自治区乌鲁木齐市头屯河区新钢路,新疆维吾尔自治区,"9,090,084,369.1000",91650000722318862K
600419.SH,天润乳业,新疆生产建设兵团农业建设第十二师国有资产监督管理委员会,地方国资委,新疆天润乳业股份有限公司,新疆维吾尔自治区乌鲁木齐市西山兵团乌鲁木齐工业园区丁香一街9-181号,新疆维吾尔自治区,"4,140,059,880.7800",91650000718902425H
600251.SH,冠农股份,新疆生产建设兵团农业建设第二师,地方政府,新疆冠农果茸股份有限公司,新疆维吾尔自治区铁门关市库西工业园二十九团公路口东11栋35号101室至120室,新疆维吾尔自治区,"7,970,599,086.6000",91650000718902003J
600540.SH,新赛股份,新疆生产建设兵团农业第五师国有资产监督管理委员会,地方国资委,新疆赛里木现代农业股份有限公司,新疆维吾尔自治区双河市荆楚工业园区迎宾路17号,新疆维吾尔自治区,"3,249,897,206.4000",9165000071890181XA
600506.SH,*ST香梨,中华人民共和国财政部,中央国家机关,新疆库尔勒香梨股份有限公司,新疆维吾尔自治区库尔勒市圣果路圣果名苑,新疆维吾尔自治区,"1,735,555,757.7500",91650000718901406B
600509.SH,天富能源,新疆生产建设兵团农八师国有资产监督管理委员会,地方国资委,新疆天富能源股份有限公司,新疆维吾尔自治区石河子市北一路东-2号,新疆维吾尔自治区,"6,114,013,740.2700",91650000718900147A
600339.SH,中油工程,中国石油天然气集团有限公司,中央国有企业,中国石油集团工程股份有限公司,新疆维吾尔自治区克拉玛依市独山子区大庆东路2号,新疆维吾尔自治区,"17,307,757,160.1000",91650000712998630A
600721.SH,*ST百花,"米恩华,杨小玲",个人,新疆百花村医药集团股份有限公司,新疆维吾尔自治区五家渠市青湖南路1025号新华苑商服中心B座-11号,新疆维吾尔自治区,"2,993,572,152.9000",916500007129676234
000159.SZ,国际实业,冯建方,个人,新疆国际实业股份有限公司,新疆维吾尔自治区乌鲁木齐市高新技术产业开发区北京南路358号大成国际大厦9楼,新疆维吾尔自治区,"3,009,094,316.1800",91650000712966815D
600256.SH,广汇能源,孙广信,个人,广汇能源股份有限公司,新疆维吾尔自治区乌鲁木齐市经济技术开发区上海路16号,新疆维吾尔自治区,"48,520,930,477.2100",9165000071296668XK
002941.SZ,新疆交建,新疆维吾尔自治区人民政府国有资产监督管理委员会,地方国资委,新疆交通建设集团股份有限公司,新疆维吾尔自治区乌鲁木齐市高新技术产业开发区(新市区)乌昌路辅道840号,新疆维吾尔自治区,"10,617,471,875.2400",91650000712958321C
002205.SZ,国统股份,国务院国有资产监督管理委员会,国资委,新疆国统管道股份有限公司,新疆维吾尔自治区乌鲁木齐市林泉西路765号,新疆维吾尔自治区,"1,700,465,536.2000",91650000710938343Q
600359.SH,新农开发,新疆生产建设兵团农一师国有资产监督管理委员会,地方国资委,新疆塔里木农业综合开发股份有限公司,新疆维吾尔自治区阿拉尔市南口镇迎宾路1号,新疆维吾尔自治区,"2,949,094,098.6000",91650000710896307E
600197.SH,伊力特,新疆生产建设兵团第四师国有资产监督管理委员会,地方国资委,新疆伊力特实业股份有限公司,新疆维吾尔自治区伊犁哈萨克自治州可克达拉市天山北路619号,新疆维吾尔自治区,"12,577,457,612.8500",91650000710892189L
000877.SZ,天山股份,国务院国有资产监督管理委员会,国资委,新疆天山水泥股份有限公司,新疆维吾尔自治区乌鲁木齐市达坂城区白杨沟村,新疆维吾尔自治区,"118,342,355,639.2400",91650000710886440T
603101.SH,汇嘉时代,潘锦海,个人,新疆汇嘉时代百货股份有限公司,新疆维吾尔自治区乌鲁木齐市高新技术产业开发区北京南路钻石城5号1栋23层,新疆维吾尔自治区,"2,751,840,000.0000",91650000673412317X
000813.SZ,德展健康,新疆维吾尔自治区人民政府国有资产监督管理委员会,地方国资委,德展大健康股份有限公司,新疆维吾尔自治区乌鲁木齐市天山区金银路53号金融大厦1611室,新疆维吾尔自治区,"7,971,053,631.2400",916500006255547591
688303.SH,大全能源,"徐广福,徐翔",个人,新疆大全新能源股份有限公司,新疆维吾尔自治区石河子市经济开发区化工新材料产业园纬六路16号,新疆维吾尔自治区,"113,151,500,000.0000",9165000056438859XD
002202.SZ,金风科技,,,新疆金风科技股份有限公司,新疆维吾尔自治区乌鲁木齐市经济技术开发区上海路107号,新疆维吾尔自治区,"48,079,328,804.6400",91650000299937622W
600737.SH,中粮糖业,国务院国有资产监督管理委员会,国资委,中粮糖业控股股份有限公司,新疆维吾尔自治区昌吉市大西渠镇区玉堂村丘54栋1层W101,新疆维吾尔自治区,"17,559,943,951.8800",916500002992011646
600089.SH,特变电工,张新,个人,特变电工股份有限公司,新疆维吾尔自治区昌吉回族自治州昌吉市北京南路189号,新疆维吾尔自治区,"78,726,075,005.4200",91650000299201121Q
600425.SH,青松建化,新疆生产建设兵团第一师国有资产监督管理委员会,地方国资委,新疆青松建材化工(集团)股份有限公司,新疆维吾尔自治区阿拉尔市滨河大道东1395号,新疆维吾尔自治区,"5,460,008,740.5600",916500002296811666
603227.SH,雪峰科技,新疆维吾尔自治区人民政府国有资产监督管理委员会,地方国资委,新疆雪峰科技(集团)股份有限公司,新疆维吾尔自治区乌鲁木齐市板房沟乡,新疆维吾尔自治区,"4,499,579,700.0000",916500002286626765
600075.SH,新疆天业,新疆生产建设兵团农八师国有资产监督管理委员会,地方国资委,新疆天业股份有限公司,新疆维吾尔自治区石河子市经济技术开发区北三东路36号,新疆维吾尔自治区,"12,310,024,214.6000",91650000228601443P
600888.SH,新疆众和,张新,个人,新疆众和股份有限公司,新疆维吾尔自治区乌鲁木齐市新市区高新区喀什东路18号,新疆维吾尔自治区,"10,172,906,655.2500",91650000228601291B
000415.SZ,渤海租赁,海南省慈航公益基金会,其他,渤海租赁股份有限公司,新疆维吾尔自治区乌鲁木齐市沙依巴克区黄河路93号,新疆维吾尔自治区,"14,409,934,587.0600",916500002285973682
600084.SH,*ST中葡,,,中信国安葡萄酒业股份有限公司,新疆维吾尔自治区乌鲁木齐市红山路39号,新疆维吾尔自治区,"4,809,550,832.4000",91650000228584380X
000972.SZ,*ST中基,新疆生产建设兵团第六师国有资产监督管理委员会,地方国资委,中基健康产业股份有限公司,新疆维吾尔自治区五家渠市25区青湖南路2666号5幢院落室宾馆A院,新疆维吾尔自治区,"2,013,050,141.1900",916500002285831508
000166.SZ,申万宏源,中央汇金投资有限责任公司,中央国有企业,申万宏源集团股份有限公司,新疆维吾尔自治区乌鲁木齐市高新区北京南路358号大成国际大厦20楼2001室,新疆维吾尔自治区,"98,482,077,727.2000",91650000132278661Y
600146.SH,*ST环球,杨军,个人,商赢环球股份有限公司,宁夏回族自治区银川市经济技术开发区经天东路南侧8号,宁夏回族自治区,"925,840,900.0000",91641100710658608A
000557.SZ,西部创业,宁夏回族自治区人民政府,地方政府,宁夏西部创业实业股份有限公司,宁夏回族自治区银川市金凤区北京中路168号C座一楼,宁夏回族自治区,"7,014,782,475.3500",91641100624900808C
831010.BJ,凯添燃气,龚晓科,个人,宁夏凯添燃气发展股份有限公司,宁夏回族自治区银川市德胜工业园区丰庆西路16号,宁夏回族自治区,"1,198,295,000.0000",9164010067042980X6
600989.SH,宝丰能源,党彦宝,个人,宁夏宝丰能源集团股份有限公司,宁夏回族自治区银川市灵武市宁东能源化工基地宝丰循环经济工业园区,宁夏回族自治区,"121,220,440,800.0000",916400007749178406
600449.SH,宁夏建材,国务院国有资产监督管理委员会,国资委,宁夏建材集团股份有限公司,宁夏回族自治区银川市西夏区新小线二公里处,宁夏回族自治区,"5,929,444,920.8000",916400007106597906
000962.SZ,东方钽业,国务院国有资产监督管理委员会,国资委,宁夏东方钽业股份有限公司,宁夏回族自治区石嘴山市大武口区冶金路,宁夏回族自治区,"4,386,284,807.8000",916400007106545275
002457.SZ,青龙管业,陈家兴,个人,宁夏青龙管业集团股份有限公司,宁夏回族自治区青铜峡市河西,宁夏回族自治区,"3,202,523,520.0000",91640000710638367B
601619.SH,嘉泽新能,陈波,个人,宁夏嘉泽新能源股份有限公司,宁夏回族自治区吴忠市红寺堡区大河乡垭隘子,宁夏回族自治区,"10,978,332,240.5900",91640000694347868H
300967.SZ,晓鸣股份,魏晓明,个人,宁夏晓鸣农牧股份有限公司,宁夏回族自治区银川市永宁县黄羊滩沿山公路93公里处向西3公里处,宁夏回族自治区,"3,556,955,050.0000",91640000574864668D
000862.SZ,银星能源,国务院国有资产监督管理委员会,国资委,宁夏银星能源股份有限公司,宁夏回族自治区银川市西夏区六盘山西路166号,宁夏回族自治区,"6,446,866,442.6100",91640000228281734A
000595.SZ,宝塔实业,宁夏回族自治区人民政府,地方政府,宝塔实业股份有限公司,宁夏回族自治区银川市西夏区北京西路630号,宁夏回族自治区,"3,734,792,880.4800",916400002277006421
000815.SZ,美利云,国务院国有资产监督管理委员会,国资委,中冶美利云产业投资股份有限公司,宁夏回族自治区中卫市,宁夏回族自治区,"11,339,740,100.8500",916400002276950035
600165.SH,新日恒力,虞建明,个人,宁夏新日恒力钢丝绳股份有限公司,宁夏回族自治区石嘴山市惠农区河滨街,宁夏回族自治区,"6,821,442,399.0000",91640000227694836P
600785.SH,新华百货,张文中,个人,银川新华百货商业集团股份有限公司,宁夏回族自治区银川市兴庆区新华东路97号,宁夏回族自治区,"2,400,716,819.2000",91640000227693286K
000635.SZ,英力特,国务院国有资产监督管理委员会,国资委,宁夏英力特化工股份有限公司,宁夏回族自治区石嘴山市惠农区钢电路,宁夏回族自治区,"2,712,634,037.9000",91640000227693163J
000982.SZ,中银绒业,,,宁夏中银绒业股份有限公司,宁夏回族自治区灵武市生态纺织园区(灵武市南二环北侧经二路东侧),宁夏回族自治区,"10,782,548,944.0900",91640000227683862F
002646.SZ,天佑德酒,李银会,个人,青海互助天佑德青稞酒股份有限公司,青海省海东市互助土族自治县威远镇西大街6号,青海省,"8,369,090,269.5400",91630000757421245D
601168.SH,西部矿业,青海省人民政府国有资产监督管理委员会,地方国资委,西部矿业股份有限公司,青海省西宁市五四大街52号,青海省,"35,125,420,000.0000",916300007104492831
600771.SH,广誉远,山西省人民政府国有资产监督管理委员会,地方国资委,广誉远中药股份有限公司,山西省晋中市太谷区广誉远路1号,山西省,"15,483,230,464.5900",916300007104039124
600243.SH,青海华鼎,"于世光,朱砂",个人,青海华鼎实业股份有限公司,青海省西宁市城北区经二路北段24号,青海省,"1,856,335,500.0000",9163000071040232XF
600381.SH,青海春天,肖融,个人,青海春天药用资源科技股份有限公司,青海省西宁市经济技术开发区东新路1号,青海省,"7,132,788,003.1500",91630000710402282C
603843.SH,正平股份,"金生光,金生辉,李建莉",个人,正平路桥建设股份有限公司,青海省西宁市长江路128号创新大厦14楼,青海省,"3,666,025,761.8800",91630000226882472D
600117.SH,西宁特钢,青海省人民政府国有资产监督管理委员会,地方国资委,西宁特殊钢股份有限公司,青海省西宁市,青海省,"3,856,486,349.8800",916300002265939457
000792.SZ,盐湖股份,青海省人民政府国有资产监督管理委员会,地方国资委,青海盐湖工业股份有限公司,青海省格尔木市黄河路28号,青海省,"162,388,683,726.0800",91630000226593742J
000606.SZ,ST顺利,,,顺利办信息服务股份有限公司,青海省西宁市城西区五四西路57号5号楼,青海省,"1,194,646,990.6800",916300002265924591
600714.SH,金瑞矿业,青海省人民政府国有资产监督管理委员会,地方国资委,青海金瑞矿业发展股份有限公司,青海省西宁市新宁路36号,青海省,"3,933,606,126.4500",916300002265916670
600869.SH,远东股份,蒋锡培,个人,远东智慧能源股份有限公司,青海省西宁市城东区南山东路7号创新创业大厦12楼1202-8,青海省,"11,185,537,839.8400",91630000226589778U
603132.SH,金徽股份,李明,个人,金徽矿业股份有限公司,甘肃省陇南市徽县柳林镇,甘肃省,"15,638,220,000.0000",91621227571602961N
002219.SZ,*ST恒康,郭宇超,个人,恒康医疗集团股份有限公司,甘肃省陇南市康县王坝独一味工业园区,甘肃省,"5,390,533,282.7000",91621200720251588Y
603919.SH,金徽酒,郭广昌,个人,金徽酒股份有限公司,甘肃省陇南市徽县伏家镇,甘肃省,"15,440,994,308.6800",91621200695632863J
002772.SZ,众兴菌业,"陶军,田德",个人,天水众兴菌业科技股份有限公司,甘肃省天水市麦积区国家农业科技园区,甘肃省,"3,059,737,725.5100",916205007788855832
002185.SZ,华天科技,肖胜利等13名一致行动人,个人,天水华天科技股份有限公司,甘肃省天水市秦州区双桥路14号,甘肃省,"35,794,093,518.1600",91620500756558610D
601212.SH,白银有色,,,白银有色集团股份有限公司,甘肃省白银市白银区友好路96号,甘肃省,"21,918,132,552.5600",916204006600434445
002145.SZ,中核钛白,王泽龙,个人,中核华原钛白股份有限公司,甘肃省白银市白银区南环路504号,甘肃省,"20,228,682,211.8500",916202007190638385
002910.SZ,庄园牧场,甘肃省人民政府国有资产监督管理委员会,地方国资委,兰州庄园牧场股份有限公司,甘肃省兰州市榆中县城关镇三角城村三角城社398号,甘肃省,"2,854,222,433.0400",916201007127751385
603169.SH,兰石重装,甘肃省人民政府国有资产监督管理委员会,地方国资委,兰州兰石重型装备股份有限公司,甘肃省兰州市兰州新区黄河大道西段528号,甘肃省,"10,058,446,844.6000",916200007202575254
300534.SZ,陇神戎发,甘肃省人民政府国有资产监督管理委员会,地方国资委,甘肃陇神戎发药业股份有限公司,甘肃省兰州市榆中县定远镇国防路10号,甘肃省,"4,322,666,250.0000",91620000720238148G
300021.SZ,大禹节水,"仇玲,王浩宇",个人,大禹节水集团股份有限公司,甘肃省酒泉市肃州区解放路290号,甘肃省,"4,745,373,040.0800",91620000712767189Y
002644.SZ,佛慈制药,兰州市人民政府国有资产监督管理委员会,地方国资委,兰州佛慈制药股份有限公司,甘肃省兰州市兰州新区华山路2289号,甘肃省,"5,489,562,750.0000",91620000712762468N
600543.SH,莫高股份,甘肃省人民政府国有资产监督管理委员会,地方国资委,甘肃莫高实业发展股份有限公司,甘肃省兰州市城关区高新技术产业开发区一号园区,甘肃省,"2,161,137,600.0000",91620000712759170Q
600307.SH,酒钢宏兴,甘肃省人民政府国有资产监督管理委员会,地方国资委,甘肃酒钢集团宏兴钢铁股份有限公司,甘肃省嘉峪关市雄关东路12号,甘肃省,"13,278,317,738.8800",91620000710375659T
600516.SH,方大炭素,方威,个人,方大炭素新材料科技股份有限公司,甘肃省兰州市红古区海石湾镇炭素路11号,甘肃省,"33,873,136,275.2000",91620000710375560A
600192.SH,长城电工,"甘肃省国有资产投资集团有限公司,甘肃省人民政府国有资产监督管理委员会",地方国资委,兰州长城电工股份有限公司,甘肃省兰州市城关区农民巷215号,甘肃省,"2,862,527,040.0000",91620000710371367P
000995.SZ,皇台酒业,赵满堂,个人,甘肃皇台酒业股份有限公司,甘肃省武威市凉州区西关街新建路55号,甘肃省,"2,579,512,320.0000",91620000710265652T
600311.SH,ST荣华,张严德,个人,甘肃荣华实业(集团)股份有限公司,甘肃省武威市东关街荣华路1号,甘肃省,"1,104,896,000.0000",916200007102656365
600354.SH,敦煌种业,酒泉市人民政府国有资产监督管理委员会,地方国资委,甘肃省敦煌种业集团股份有限公司,甘肃省酒泉市肃州区肃州路28号,甘肃省,"3,040,139,980.8000",916200007102487488
000981.SZ,*ST银亿,叶骥,个人,银亿股份有限公司,甘肃省兰州市高新技术产业开发区张苏滩573号8楼,甘肃省,"15,196,155,749.7600",91620000710207508J
603999.SH,读者传媒,甘肃省人民政府,地方政府,读者出版传媒股份有限公司,甘肃省兰州市城关区南滨河东路520号,甘肃省,"3,369,600,000.0000",9162000069563405XC
300084.SZ,海默科技,窦剑文,个人,海默科技(集团)股份有限公司,甘肃省兰州市城关区张苏滩593号,甘肃省,"2,331,680,372.2800",91620000296610085H
601798.SH,蓝科高新,国务院国有资产监督管理委员会,国资委,甘肃蓝科石化高新装备股份有限公司,甘肃省兰州市安宁区蓝科路8号,甘肃省,"2,481,697,386.0000",91620000224529093P
001227.SZ,兰州银行,,,兰州银行股份有限公司,甘肃省兰州市城关区酒泉路211号,甘肃省,"30,585,893,792.1600",91620000224422085P
000791.SZ,甘肃电投,甘肃省人民政府国有资产监督管理委员会,地方国资委,甘肃电投能源发展股份有限公司,甘肃省兰州市城关区北滨河东路69号甘肃投资集团大厦,甘肃省,"8,578,928,850.8000",916200002243725832
000779.SZ,甘咨询,甘肃省人民政府国有资产监督管理委员会,地方国资委,甘肃工程咨询集团股份有限公司,甘肃省兰州市城关区酒泉路16号新业大厦713室,甘肃省,"3,877,962,174.0000",91620000224371505Q
600720.SH,祁连山,中国建材集团有限公司,中央国有企业,甘肃祁连山水泥集团股份有限公司,甘肃省兰州市城关区酒泉路,甘肃省,"8,019,078,613.0600",916200002243685683
601086.SH,国芳集团,"张春芳,张国芳",个人,甘肃国芳工贸(集团)股份有限公司,甘肃省兰州市城关区广场南路4-6号,甘肃省,"2,677,320,000.0000",91620000224367434N
600108.SH,亚盛集团,甘肃省人民政府国有资产监督管理委员会,地方国资委,甘肃亚盛实业(集团)股份有限公司,甘肃省兰州市城关区雁兴路21号,甘肃省,"6,853,141,225.9200",91620000224365682J
000929.SZ,兰州黄河,杨世江,个人,兰州黄河企业股份有限公司,甘肃省兰州市七里河区郑家庄108号,甘肃省,"1,577,153,340.0000",916200002243453154
000552.SZ,靖远煤电,甘肃省人民政府国有资产监督管理委员会,地方国资委,甘肃靖远煤电股份有限公司,甘肃省白银市平川区大桥路1号,甘肃省,"9,168,856,893.3000",91620000224344785T
000672.SZ,上峰水泥,俞锋,个人,甘肃上峰水泥股份有限公司,甘肃省白银市白银区五一街2号,甘肃省,"17,492,827,226.5000",916200002243443476
600738.SH,丽尚国潮,丽水经济技术开发区管理委员会,地方政府,兰州丽尚国潮实业集团股份有限公司,甘肃省兰州市城关区中山路120号,甘肃省,"4,246,319,973.2400",91620000224336881T
000697.SZ,炼石航空,张政,个人,炼石航空科技股份有限公司,陕西省咸阳市西咸新区沣西新城世纪大道55号,陕西省,"4,889,364,909.5200",916111002217259967
601568.SH,北元集团,陕西省人民政府国有资产监督管理委员会,地方国资委,陕西北元化工集团股份有限公司,陕西省榆林市神木市锦界工业园区,陕西省,"27,191,666,673.3600",91610821748622598U
605033.SH,美邦股份,"张秋芳,张少武,张通",个人,陕西美邦药业集团股份有限公司,陕西省渭南市蒲城县高新技术产业开发区,陕西省,"2,647,216,000.0000",91610592709980931P
300861.SZ,美畅股份,吴英,个人,杨凌美畅新材料股份有限公司,陕西省咸阳市杨陵示范区渭惠路东段富海工业园,陕西省,"26,192,654,800.0000",91610403338742407M
600707.SH,彩虹股份,咸阳市人民政府国有资产监督管理委员会,地方国资委,彩虹显示器件股份有限公司,陕西省咸阳市高新区高新一路创业大厦,陕西省,"20,453,821,472.4000",916104002205330284
688285.SH,高铁电气,国务院国有资产监督管理委员会,国资委,中铁高铁电气装备股份有限公司,陕西省宝鸡市高新开发区高新大道196号,陕西省,"3,273,722,243.1000",91610301221302547B
600379.SH,宝光股份,国务院国有资产监督管理委员会,国资委,陕西宝光真空电器股份有限公司,陕西省宝鸡市渭滨区宝光路53号,陕西省,"4,193,559,862.8000",916103007099018935
000796.SZ,凯撒旅业,陈小兵,个人,凯撒同盛发展股份有限公司,海南省三亚市天涯区三亚湾路国际客运港区国际养生度假中心酒店B座(2#楼)6楼603室,海南省,"7,556,232,427.7800",916103002213030138
000561.SZ,烽火电子,陕西省人民政府国有资产监督管理委员会,地方国资委,陕西烽火电子股份有限公司,陕西省宝鸡市清姜路72号,陕西省,"4,311,456,248.7300",91610300220533749U
300775.SZ,三角防务,,,西安三角防务股份有限公司,陕西省西安市航空基地蓝天二路8号,陕西省,"22,110,179,547.9800",91610137735087821G
600706.SH,曲江文旅,西安曲江新区管理委员会,地方政府,西安曲江文化旅游股份有限公司,陕西省西安市西安曲江新区(雁塔南路)曲江文化大厦7-8层,陕西省,"2,729,139,699.5000",91610133220537563C
600817.SH,宇通重工,"汤玉祥,汤玉祥等7名合伙人代表(实际控制人)",个人,宇通重工股份有限公司,河南省郑州市航空港鄱阳湖路86号蓝山公馆一楼106,河南省,"5,695,782,797.7600",91610133132207011Q
688122.SH,西部超导,陕西省财政厅,地方政府,西部超导材料科技股份有限公司,陕西省西安市经济技术开发区明光路12号,陕西省,"36,831,336,496.5300",916101327428232411
688269.SH,凯立新材,陕西省财政厅,地方政府,西安凯立新材料股份有限公司,陕西省西安市经济技术开发区泾渭新城泾勤路西段6号,陕西省,"9,538,591,200.0000",916101327350453574
600455.SH,博通股份,西安经济技术开发区管理委员会,地方政府,西安博通资讯股份有限公司,陕西省西安市经济技术开发区未央路130号凯鑫大厦,陕西省,"1,437,783,160.0000",91610132294262806L
301031.SZ,中熔电气,"方广文,刘冰,汪桂飞,王伟",个人,西安中熔电气股份有限公司,陕西省西安市雁塔区高新区锦业路69号创业研发园A区12号现代企业中心东区3-10303室,陕西省,"7,356,794,397.0000",916101317974808482
688314.SH,康拓医疗,胡立人,个人,西安康拓医疗技术股份有限公司,陕西省西安市高新区草堂科技产业基地秦岭大道西6号,陕西省,"2,945,500,264.8000",91610131766980321E
300397.SZ,天和防务,贺增林,个人,西安天和防务技术股份有限公司,陕西省西安市高新区西部大道158号,陕西省,"6,962,214,220.2500",9161013175783164XA
605168.SH,三人行,"崔蕾,钱俊冬",个人,三人行传媒集团股份有限公司,陕西省西安市高新区科技二路72号西安软件园唐乐阁E401,陕西省,"10,995,853,618.0000",91610131742837256P
300103.SZ,达刚控股,"李太杰,孙建西",个人,达刚控股集团股份有限公司,陕西省西安市高新区毕原三路10号,陕西省,"2,867,937,030.0000",91610131735085973C
002799.SZ,环球印务,陕西省人民政府国有资产监督管理委员会,地方国资委,西安环球印务股份有限公司,陕西省西安市高新区科技一路32号,陕西省,"3,326,400,000.0000",9161013172630357XM
